num,open,high,low,close,Volume,ma5,ma10,ma20,ma60,ma120,gain,loss,sumgain,sumloss,avggain,avgloss,rs,rsi,EMA12,EMA26,macd
9891,47918.43,48340,47907.85,48322.61,747306998.3,47569.738,47376.193,47445.766,47741.9585,46858.06275,0,404.19,618.74,1045.3,65.29660194,84.02932639,0.777069206,43.72757141,48388.70128,48433.03661,-44.33533913
9890,47645,47998.95,47645,47917.73,488374407.4,47380.646,47310.91,47436.183,47747.58233,46830.66158,0,273.43,618.74,1185.9,60.63255895,97.55794593,0.621503029,38.32882321,48274.28569,48333.61229,-59.32659749
9889,47590.26,47692.79,47521.26,47644.99,206425741.6,47305.854,47308.41,47456.7375,47750.83233,46808.4855,0,54.74,410.68,1240.64,56.30166188,94.49952122,0.5957878,37.33502664,48169.05097,48223.61712,-54.5661523
9888,47391.89,47698.65,47331.92,47590.25,460777995.7,47183.252,47302.483,47479.4575,47752.84967,46788.49158,0,198.37,354.64,1439.01,52.2801146,101.9188411,0.512958291,33.90432468,48049.48775,48111.48349,-61.9957471
9887,47303.11,47396.99,47044.32,47391.89,349672979.5,47204.674,47312.285,47513.068,47752.94617,46777.41258,0,88.78,354.64,1510.07,48.5458207,100.9803525,0.480745209,32.46643692,47934.6604,47994.20051,-59.5401051
9886,46972.97,47323.51,46907.65,47303.11,327476806.3,47182.648,47307.574,47542.872,47756.86267,46766.9535,0,330.14,354.64,1761.05,45.07826208,117.3488987,0.384138774,27.75290897,47786.70803,47863.42407,-76.71604334
9885,47271.04,47443.77,46915,46972.98,438451777.1,47241.174,47357.694,47582.0525,47767.0955,46757.09975,298.07,0,647.75,1761.05,63.1491005,108.9668345,0.579525878,36.68986285,47707.37449,47748.5104,-41.13591132
9884,46977.25,47284.61,46801,47271.05,503861534.4,47310.966,47372.247,47620,47764.67033,46740.62967,0,293.79,438.05,2054.84,58.63845047,122.1684892,0.479980156,32.43152645,47595.04764,47653.29119,-58.24354889
9883,47499,47590.09,46968,46977.25,448230364.5,47421.714,47420.792,47646.5335,47765.969,46725.11775,521.75,0,934.99,2054.84,91.71784686,113.4421686,0.808498709,44.70551763,47580.27108,47587.933,-7.661920289
9882,47192.98,47550,47080,47498.99,392704182.6,47419.896,47443.238,47658.861,47760.42383,46712.00508,0,306.02,892.16,2360.86,85.16657209,127.1977279,0.669560482,40.1039968,47520.68784,47551.58285,-30.89501517
